county,state_name,Location,lat,lng,population
Jefferson,Louisiana,"Jefferson, Louisiana",29.7872,-90.1274,434850
Monterey,California,"Monterey, California",36.2172,-121.2392,433410
Pinal,Arizona,"Pinal, Arizona",32.9044,-111.3448,432793
Lucas,Ohio,"Lucas, Ohio",41.6199,-83.6583,431102
Cameron,Texas,"Cameron, Texas",26.1334,-97.5181,421666
Dakota,Minnesota,"Dakota, Minnesota",44.6719,-93.0654,421453
Sarasota,Florida,"Sarasota, Florida",27.1845,-82.3315,419496
Berks,Pennsylvania,"Berks, Pennsylvania",40.4163,-75.926,418025
Mobile,Alabama,"Mobile, Alabama",30.7872,-88.2058,414114
Hillsborough,New Hampshire,"Hillsborough, New Hampshire",42.9153,-71.7161,413035
Richland,South Carolina,"Richland, South Carolina",34.0218,-80.9031,411357
Clackamas,Oregon,"Clackamas, Oregon",45.188,-122.2209,410463
Genesee,Michigan,"Genesee, Michigan",43.0217,-83.7067,407875
Charleston,South Carolina,"Charleston, South Carolina",32.8346,-79.9531,401165
Waukesha,Wisconsin,"Waukesha, Wisconsin",43.0182,-88.3045,400475
Loudoun,Virginia,"Loudoun, Virginia",39.0907,-77.6357,395134
St. Charles,Missouri,"St. Charles, Missouri",38.7819,-90.6749,394290
Pulaski,Arkansas,"Pulaski, Arkansas",34.77,-92.3119,392967
Orleans,Louisiana,"Orleans, Louisiana",30.0687,-89.9288,390845
Placer,California,"Placer, California",39.0635,-120.7175,385512
Manatee,Florida,"Manatee, Florida",27.4719,-82.3153,384213
Orange,New York,"Orange, New York",41.4021,-74.3055,380085
Butler,Ohio,"Butler, Ohio",39.4386,-84.5756,380019
Forsyth,North Carolina,"Forsyth, North Carolina",36.1306,-80.2563,375195
Lane,Oregon,"Lane, Oregon",43.9388,-122.8475,373340
Allen,Indiana,"Allen, Indiana",41.0909,-85.0666,372575
Stark,Ohio,"Stark, Ohio",40.8139,-81.3656,372404
Collier,Florida,"Collier, Florida",26.1107,-81.3476,371453
Mercer,New Jersey,"Mercer, New Jersey",40.2834,-74.7018,367922
Washtenaw,Michigan,"Washtenaw, Michigan",42.2532,-83.8388,367000
Lehigh,Pennsylvania,"Lehigh, Pennsylvania",40.6127,-75.5923,365052
Madison,Alabama,"Madison, Alabama",34.7631,-86.5502,362276
Nueces,Texas,"Nueces, Texas",27.7255,-97.6132,361540
Hamilton,Tennessee,"Hamilton, Tennessee",35.1808,-85.1648,360919
Brazoria,Texas,"Brazoria, Texas",29.1897,-95.4519,360677
Marion,Florida,"Marion, Florida",29.2102,-82.0567,353526
Westmoreland,Pennsylvania,"Westmoreland, Pennsylvania",40.3107,-79.467,352590
Osceola,Florida,"Osceola, Florida",28.0627,-81.1495,351955
Anoka,Minnesota,"Anoka, Minnesota",45.2733,-93.2465,350253
Bell,Texas,"Bell, Texas",31.0377,-97.4782,348574
Lake,Florida,"Lake, Florida",28.7615,-81.7113,345867
Davis,Utah,"Davis, Utah",40.99,-112.1115,345767
Larimer,Colorado,"Larimer, Colorado",40.6664,-105.4611,344786
Chesterfield,Virginia,"Chesterfield, Virginia",37.3785,-77.587,343551
Marion,Oregon,"Marion, Oregon",44.9033,-122.5849,339641
Douglas,Colorado,"Douglas, Colorado",39.3297,-104.9296,336041
Galveston,Texas,"Galveston, Texas",29.3931,-94.9629,332885
Cumberland,North Carolina,"Cumberland, North Carolina",35.0486,-78.8276,332861
Horry,South Carolina,"Horry, South Carolina",33.9215,-78.9965,332172
Somerset,New Jersey,"Somerset, New Jersey",40.5635,-74.6163,329838
Henrico,Virginia,"Henrico, Virginia",37.538,-77.4058,327535
Rockland,New York,"Rockland, New York",41.1524,-74.0241,324422
Hamilton,Indiana,"Hamilton, Indiana",40.0725,-86.052,323117
Boulder,Colorado,"Boulder, Colorado",40.0925,-105.3577,322510
Fayette,Kentucky,"Fayette, Kentucky",38.0423,-84.4587,320601
